title,artist,year,playcount
Perfect Strangers,Deep Purple,1984,2
Marakesh Express,Gold Star Ballroom Orchestra,1969,2
Sometimes A Fantasy,Billy Joel,1980,3
Entre Nous,Rush,1980,2
With Arms Wide Open,Creed,1999,1
Good Vibrations,The Beach Boys,1966,1
Tired Of Toein' The Line,Rocky Burnette,1980,1
Rainbow In the Dark,Dio,1983,22
Trampled Under Foot,Led Zeppelin,1975,35
Gimme All Your Lovin,ZZ Top,1983,86
Bullfrog Blues,Rory Gallagher,1972,1
TIME IN A BOTTLE,Jim Croce,1972,1
Heaven and Hell,Black Sabbath,1980,1
Houseparty,J. Geils Band,1993,1
Fooled Again (I Don't Like It),Tom Petty & The Heartbreakers,1976,1
In My Dreams,Dokken,1985,4
Join Together,The Who,1972,4
Rio,Duran Duran,1982,1
Something,The Beatles,1969,11
Alabama Getaway,Grateful Dead,1979,1
Looks That Kill,Motley Crue,1983,8
Jane,Jefferson Starship,1979,32
Breathe,Pink Floyd,1973,9
Magic Carpet Ride,Steppenwolf,1968,65
I Will Follow,U2,1980,4
Shooting Star,Bad Company,1975,62
Even It Up,Heart,1980,8
I Know I'm Losing You,Rod Stewart,1971,2
Just the Same Way,Journey,1979,4
Ride My See Saw,The Moody Blues,1968,1
Heaven's On Fire,Kiss,1984,2
Good Times Roll,The Cars,1978,88
Lady,Styx,1973,19
Time For Me To Fly,REO Speedwagon,1978,16
PLAY THAT FUNKY MUSIC,Wild Cherry,1976,4
Modern Love,David Bowie,1983,10
Karn Evil 9,Emerson Lake & Palmer,1973,11
ROCK AND ROLL MUSIC,The Beatles,1976,1
Jealous Again,The Black Crowes,1990,24
NOWHERE MAN,The Beatles,1965,1
Keep Yourself Alive,Queen,1973,4
Edge of Seventeen,Stevie Nicks,1981,78
Black Betty,Ram Jam,1977,57
Lords of Summer (First Pass Version),Metallica,2014,1
Get Out of Denver,Bob Seger,1974,1
Message of Love,The Pretenders,1981,1
Mista Bone,Great White,1989,1
Down in a Hole,Alice In Chains,1992,1
Aqualung,Jethro Tull,1971,21
My Best Friend's Girl,The Cars,1978,65
THESE EYES,Guess Who,1969,1
Loving You Sunday Morning,Scorpions,1979,1
Golden Slumbers,The Beatles,1969,5
Have You Ever Seen the Rain?,Creedence Clearwater Revival,1971,57
Thunder Island,Jay Ferguson,1978,3
For Your Life,Led Zeppelin,1976,1
Magical Mystery Tour,The Beatles,1967,6
Celebration Day,Led Zeppelin,1970,4
Young Lust,Pink Floyd,1979,59
Yellow Submarine,The Beatles,1966,4
Street Of Dreams,Rainbow,1983,5
Goin' up the Country,Canned Heat,1968,2
Truckin',Grateful Dead,1970,19
Bad to the Bone,George Thorogood,1982,63
Red Rain,Peter Gabriel,1986,8
Big Log,Robert Plant,1983,11
I'm the Only One,Melissa Etheridge,1993,1
Suffragette City,David Bowie,1972,18
No Matter What,Badfinger,1970,2
Spooky,Atlanta Rhythm Section,1979,1
Mean Street,Van Halen,1981,1
Come As You Are,Nirvana,1991,39
Long Long Way From Home,Foreigner,1977,34
Little Queen,Heart,1977,1
We Gotta Get You a Woman,Todd Rundgren,1970,1
I've Got a Rock 'N' Roll Heart,Eric Clapton,1983,3
Been Caught Stealing,Jane's Addiction,1990,3
Your Love,The Outfield,1985,21
Kickin' My Heart Around,The Black Crowes,1999,1
Call Me the Breeze,Eric Clapton,2014,3
Cry Me a River,Joe Cocker,1970,1
The Trees,Rush,1978,1
When I Come Around,Green Day,1994,14
Mrs. Robinson,The Lemonheads,1992,2
Shakin',Eddie Money,1982,56
Party On The Patio,ZZ Top,1981,14
Show Me the Way,Peter Frampton,1975,30
Superstition,Stevie Wonder,1973,12
Tonight Tonight (live),Genesis,1986,1
Reason to Believe,Rod Stewart,1971,5
You're My Best Friend,Queen,1976,57
Everybody Wants You,Billy Squier,1982,59
Friends,Led Zeppelin,1970,2
Basket Case,Green Day,1994,5
Margaritaville,Jimmy Buffett,1977,17
I Alone,Live,1994,3
The Rain Song,Led Zeppelin,1973,3
A Salty Dog,Procol Harum,1969,1
Crystal Ball,Styx,1976,4
In The Mood,Rush,1974,3
Simply Irresistible,Robert Palmer,1988,1
Fat Bottomed Girls,Queen,1978,70
No One to Run With,Allman Brothers Band,1994,3
CALIFORNIA DREAMIN',The Mamas ,1966,1
In a Big Country,Big Country,1983,2
Gold Dust Woman,Fleetwood Mac,1977,37
The Weight,The Band,1968,24
CAROL,Rolling Stones,1964,1
My Town,Michael Stanley,1983,1
Bye Bye Love,The Cars,1978,48
Rock 'N Me,Steve Miller Band,1976,102
I Hate Myself For Loving You,Joan Jett,1988,16
Saturday In the Park,Chicago,1972,2
IT WON'T BE LONG,The Beatles,1963,1
Love The One You'Re With,Steven Stills,1971,1
GONNA GET YA,Pete Townshend,1980,1
Heartbreaker/Living Loving Maid (She's Just A Woman),Led Zeppelin,1969,35
Red House,Jimi Hendrix,1967,4
Night Time,J. Geils Band,1980,1
Magic Man,Heart,1976,115
Right Place Wrong Time,Dr. John,1973,2
American Woman,Guess Who,1970,80
Immigrant Song,Ann Wilson,2007,2
Kryptonite,3 Doors Down,2000,13
Speak to Me/Breathe,Pink Floyd,1973,30
Tempted,Squeeze,1981,22
Carry On Wayward Son,Kansas,1976,134
Waiting on a Friend,Rolling Stones,1981,3
She's a Runner,Billy Squier,1982,1
Strike up the Band,Michael Stanley,1977,1
Paperback Writer,The Beatles,1966,5
Prelude/Angry Young Man,Billy Joel,1976,1
Dani California,Red Hot Chili Peppers,2006,3
Epic,Faith No More,1989,3
Have a Drink On Me,AC/DC,1980,39
18 And Life,Skid Row,1989,17
Lovin' Touchin' Squeezin',Journey,1979,60
Jesus Is Just Alright,The Doobie Brothers,1972,10
Roll With It,Steve Winwood,1988,1
Two Princes,Spin Doctors,1991,1
A Day In The Life,The Beatles,1967,31
Good Friday,The Black Crowes,1996,1
White Rabbit,Jefferson Airplane,1967,23
Yer So Bad,Tom Petty & The Heartbreakers,1990,1
Helplessly Hoping,Crosby Stills & Nash,1969,1
Magic Bus,The Who,1968,12
Sweet Dreams (Are Made of This),Eurythmics,1982,2
And It Stoned Me,Van Morrison,1970,1
In the Air Tonight,Phil Collins,1981,93
Somebody,Bryan Adams,1984,1
Moon Rider,Moxy,1975,1
Take Out The Gunman,Chevelle,2014,4
Axel F Theme,Harold Faltermeyer,1984,1
Blurry,Puddle of Mudd,2001,1
Hell Is for Children,Pat Benatar,1980,1
Lola,The Kinks,1970,40
People Are Strange,The Doors,1967,53
Rock and Roll,Led Zeppelin,1971,92
Today,Smashing Pumpkins,1993,2
Games Without Frontiers,Peter Gabriel,1980,3
Sledgehammer,Peter Gabriel,1986,36
Breaking the Girl,Red Hot Chili Peppers,1992,1
We Are the Champions,Queen,1977,15
Play the Game Tonight,Kansas,1982,1
She's Leaving Home,The Beatles,1967,1
(Sittin' On) The Dock of the Bay,Otis Redding,1968,5
Who Will You Run To,Heart,1987,2
No Time,Guess Who,1969,4
Top of the World,Van Halen,1991,5
What About Love?,Heart,1985,3
You Get Me High,Tom Petty & The Heartbreakers,2014,8
GIRL,The Beatles,1965,1
Hot for Teacher,Van Halen,1984,52
In My Time of Dying,Led Zeppelin,1975,2
Twist and Shout,The Beatles,1963,5
CHINA TOWN SHUFFLE ,Grateful Dead,1999,1
Back On My Feet Again,The Babys,1980,3
Wayside,Artful Dodger,1975,1
Walk This Way,Aerosmith,1975,106
Young Americans,David Bowie,1975,26
Cowboy,Kid Rock,1998,3
The House Is Rockin',Stevie Ray Vaughan,1989,17
Twentieth Century Fox,The Doors,1967,2
Heartache Tonight,Eagles,1979,30
Put Your Lights On (feat. Everlast),Santana,1999,2
Allentown,Billy Joel,1982,1
Born to Be Wild,Steppenwolf,1968,53
Whole Lotta Love,Led Zeppelin,1969,72
Victoria,The Kinks,1969,16
When I'm 64,The Beatles,1967,1
Sunny Afternoon,The Kinks,1966,1
Moving In Stereo,The Cars,1978,53
Hell in a Bucket,Grateful Dead,1987,1
Season of the Witch,Donovan,1966,1
Shot Down In Flames,AC/DC,1979,2
Happy Jack,The Who,1966,2
Dirty Deeds Done Dirt Cheap,AC/DC,1976,85
Fly Away,Lenny Kravitz,1998,10
Wait,White Lion,1987,1
I'm Alright,Kenny Loggins,1980,5
Don't Bring Me Down,Electric Light Orchestra,1979,85
The Last In Line,Dio,1984,18
More Than a Feeling,Boston,1976,134
Billion Dollar Babies,Alice Cooper,1973,2
Da Da Doo Ron Ron,Rolling Stones,1963,3
Roll Me Away,Bob Seger,1982,5
Cold Shot,Stevie Ray Vaughan,1984,14
Winning,Santana,1981,4
Alive,Pearl Jam,1991,16
Running On Empty,Jackson Browne,1977,39
Sharp Dressed Man,ZZ Top,1983,120
The Isle Of Debris,Stu Nunnery,1973,1
I Want to Know What Love Is,Foreigner,1984,4
Let It Bleed,Rolling Stones,1969,1
We Belong,Pat Benatar,1984,14
Cross-eyed Mary,Jethro Tull,1971,12
Havin' A Party,Southside Johnny,1977,1
My Love,Paul McCartney & Wings,1973,1
Load Out/Stay,Jackson Browne,1977,2
Paper in Fire,John Mellencamp,1987,1
The Crystal Ship,The Doors,1967,11
Sgt. Pepper/a Day In The Life,The Beatles,1967,3
Red Barchetta,Rush,1981,11
Taxman,Stevie Ray Vaughan,1995,1
In The City,Eagles,1979,44
Don't Come Around Here No More,Tom Petty & The Heartbreakers,1985,49
Sunshine Superman,Donovan,1966,1
Dog Eat Dog,Ted Nugent,1976,3
Since You're Gone,The Cars,1982,3
Smoke On The Water,Deep Purple,1972,43
Easy Livin',Uriah Heep,1972,4
Whammer Jammer,J. Geils Band,1971,2
Ain't Wastin' Time No More,Allman Brothers Band,1972,1
It Wasn't Me,George Thorogood,1978,6
Hoedown,Emerson Lake & Palmer,1972,1
Close My Eyes Forever,Lita Ford,1988,5
Bad Reputation,Joan Jett,1981,1
Way Cool Jr.,Ratt,1988,9
Jump,Van Halen,1984,72
Monkey Wrench,Foo Fighters,1997,3
UKIAH/THE CAPTAIN AND ME,The Doobie Brothers,1973,1
Don't Look Back,Boston,1978,86
OH DARLING,The Beatles,1969,6
Sister Christian,Night Ranger,1983,32
Substitute,The Who,1966,8
Things We Said Today,The Beatles,1964,2
Pride (In the Name of Love),U2,1984,60
